Key	Korean	English
VisionTool.Preset.Contour.Basic.Description	Contour 기본 검사: 외곽 윤곽과 중간 면적 기준으로 시작	External outlines with a medium area filter for first contour checks.
VisionTool.Preset.Contour.Fast.Description	Contour 빠른 검사: 작은 노이즈 윤곽을 건너뛰도록 면적 기준을 높임	External simple contours with a larger area floor to skip noise quickly.
VisionTool.Preset.Contour.Precise.Description	Contour 정밀 검사: 작은 윤곽과 근사 다각형으로 형상 튜닝	Smaller contours with polygon approximation for final shape tuning.
VisionTool.Preset.Line.Basic.Description	Line 기본 검사: 선택된 Line A/B에 균형 잡힌 대비와 스캔 간격 적용	Balanced contrast and scan interval for the selected Line A/B.
VisionTool.Preset.Line.Fast.Description	Line 빠른 검사: 빠른 엣지 확인을 위해 대비를 높이고 스캔 간격을 넓힘	Higher contrast and wider scan interval for quick edge checks.
VisionTool.Preset.Line.Precise.Description	Line 정밀 검사: 낮은 대비, 촘촘한 스캔, 핏라인 확장, 평균 필터 적용	Lower contrast, denser scan lines, fit-line extension, and average filtering for final tuning.
PipelineReview.Guide.Stage	리뷰	Review
PipelineReview.Guide.Current	현재 Step	Current Step
PipelineReview.Guide.Next	다음 확인	Next Check
PipelineReview.Guide.Decision	판정	Decision
PipelineReview.Guide.Checklist	검증 습관	Review Habit
PipelineReview.Guide.EmptyStage	Step 없음	No steps
PipelineReview.Guide.EmptyCurrentFormat	{0}에 리뷰할 Step이 없습니다	{0} has no review steps
PipelineReview.Guide.EmptyNext	Tool 결과를 Pipeline에 추가	Add a tool result to the pipeline
PipelineReview.Guide.EmptyDecision	판정할 결과 없음	No result to judge
PipelineReview.Guide.EmptyDetail	Tool View에서 결과를 Pipeline에 추가한 뒤 리뷰를 실행합니다.	Add a tool result from a Tool View, then run review.
PipelineReview.Guide.StageFormat	Step {0}/{1}	Step {0}/{1}
PipelineReview.Guide.RouteFormat	{0} -> {1}	{0} -> {1}
PipelineReview.Guide.RunningNext	리뷰 실행 중	Review is running
PipelineReview.Guide.RunningDecision	Step 결과 대기	Waiting for step result
PipelineReview.Guide.RunningDetail	선택한 Step의 리뷰 결과를 기다리는 중입니다.	The selected step is waiting for the review result.
PipelineReview.Guide.ValidationNext	리뷰 전에 검증 오류 수정	Fix validation errors before review
PipelineReview.Guide.ValidationDecision	아직 Pipeline 판정 불가	Pipeline cannot be judged yet
PipelineReview.Guide.ValidationDetail	검증 상세를 열어 라우트 또는 파라미터를 먼저 수정하십시오.	Open the validation detail and fix the route or parameters first.
PipelineReview.Guide.DisabledNext	Step을 켠 뒤 판정	Enable this step before judging it
PipelineReview.Guide.DisabledDetail	이 Step은 꺼져 있어서 리뷰 중 건너뜁니다.	This step is skipped during review because it is disabled.
PipelineReview.Guide.InputMissingNext	입력 레이어 연결 또는 이미지 로드	Connect or load the input layer
PipelineReview.Guide.InputMissingDetail	선택한 입력 레이어에 이미지가 없어 아직 이 Step을 판정할 수 없습니다.	The selected input layer has no image, so this step cannot be judged yet.
PipelineReview.Guide.InputPendingNext	리뷰 실행으로 이전 Step 입력 생성	Run Review to create this input from the earlier step
PipelineReview.Guide.InputPendingDetail	이 입력은 이전 활성 Step이 리뷰 실행 중 생성합니다.	An earlier enabled step will create this input when Review runs.
PipelineReview.Status.InputMissing	입력 없음	Input missing
PipelineReview.Guide.ReadyNext	리뷰 실행으로 측정 결과 갱신	Run Review to refresh the measured result
PipelineReview.Guide.ReadyDetail	출력 이미지는 있지만 리뷰 실행으로 측정 결과를 다시 갱신합니다.	An output image exists, but Run Review refreshes the measured result.
PipelineReview.Guide.BeforeRunNext	리뷰 실행으로 Step 출력 생성	Run Review to create the step output
PipelineReview.Guide.BeforeRunDetail	리뷰 실행으로 이 Step의 출력 이미지와 측정 결과를 생성합니다.	Run Review creates the output image and measured result for this step.
PipelineReview.Guide.OkNext	출력 확인 후 다음 Step	Check output, then next step
PipelineReview.Guide.OkFinalNext	출력/지표/Good-Bad 비교 후 승인	Compare output/metrics/pair, then accept
PipelineReview.Guide.NgNext	파라미터/라우트 조정 후 재리뷰	Tune parameters/route, then rerun review
PipelineReview.Guide.NgDetail	선택 Step의 결과를 확인하고 라우트 또는 파라미터를 조정합니다.	Review the selected step's result and adjust the route or parameters.
PipelineReview.Guide.Pair	Good/Bad 쌍	Good/Bad Pair
PipelineReview.Guide.PairMetric	지표 확인	Metric Check
PipelineReview.Guide.TriageFailure	원인	Cause
PipelineReview.Guide.TriageAdjustment	조정	Adjust
PipelineReview.Guide.TriageRerun	재리뷰	Rerun
PipelineReview.Guide.TriageRerunPair	반대 샘플도 같은 Pipeline으로 실행해 기준 안/밖 갈림을 확인하십시오.	Run the opposite sample with the same Pipeline and confirm the metric splits inside/outside target.
PipelineReview.Guide.FixDetailPrefix	우선 확인	Check first
PipelineReview.Guide.ParameterLocationPrefix	조정 위치	Adjust here
PipelineReview.Guide.ThresholdFix	입력 레이어, ROI, Threshold mode/값/범위, Adaptive Block/Weight를 먼저 확인하십시오.	Check input layer, ROI, threshold mode, value/range, adaptive block size, and weight.
PipelineReview.Guide.BlobFix	입력 레이어 연결, threshold 극성, morphology 정리, ROI, 면적 제한, connectivity를 먼저 확인하십시오.	Check input layer chaining, threshold polarity, morphology cleanup, ROI, area limits, and connectivity.
PipelineReview.Guide.ContourFix	입력 레이어 연결, threshold 극성, morphology 정리, ROI, 면적 제한을 먼저 확인하십시오.	Check input layer chaining, threshold polarity, morphology cleanup, ROI, and area limits.
PipelineReview.Guide.LineFix	ROI 위치, edge layer, polarity/contrast, sampling interval, projection direction, Pixel/mm를 먼저 확인하십시오.	Check ROI placement, edge layer selection, polarity/contrast, sampling interval, projection direction, and Pixel/mm.
PipelineReview.Guide.MeanFix	입력 레이어, ROI, Mean type, 조명/밝기 변화, 기준 범위를 먼저 확인하십시오.	Check input layer, ROI, mean type, lighting or brightness drift, and target range.
PipelineReview.Guide.MatchingFix	template 이미지, 입력 레이어, ROI, score threshold, angle search, scale search를 먼저 확인하십시오.	Check template image, input layer, ROI, score threshold, angle search, and scale search.
PipelineReview.Guide.GenericFix	acceptance 기준을 바꾸기 전에 입력 레이어, 라우트, ROI, 파라미터를 먼저 확인하십시오.	Check the input layer, route, ROI, and parameters before changing acceptance limits.
PipelineReview.Guide.ThresholdParameterLocation	파라미터 패널 > Mode, Threshold/Range, Adaptive, ROI	Parameter panel > Mode, Threshold/Range, Adaptive, ROI
PipelineReview.Guide.BlobParameterLocation	파라미터 패널 > 입력 레이어, threshold 극성, morphology, 면적 제한, ROI	Parameter panel > input layer, threshold polarity, morphology, area limits, ROI
PipelineReview.Guide.ContourParameterLocation	파라미터 패널 > 입력 레이어, threshold 극성, morphology, 면적 제한, ROI	Parameter panel > input layer, threshold polarity, morphology, area limits, ROI
PipelineReview.Guide.LineParameterLocation	파라미터 패널 > ROI/CvROI, polarity/contrast, sampling, Pixel/mm	Parameter panel > ROI/CvROI, polarity/contrast, sampling, Pixel/mm
PipelineReview.Guide.MeanParameterLocation	파라미터 패널 > MEAN_TYPES, ROI/CvROI, 밝기 기준 범위	Parameter panel > MEAN_TYPES, ROI/CvROI, brightness target range
PipelineReview.Guide.MatchingParameterLocation	파라미터 패널 > template 경로, score threshold, angle/scale search	Parameter panel > template path, score threshold, angle/scale search
PipelineReview.Guide.GenericParameterLocation	파라미터 패널 > 입력 레이어, ROI, 라우트, acceptance 기준	Parameter panel > input layer, ROI, route, acceptance limits
PipelineReview.Guide.AcceptanceMetricNgDetailFormat	{0}: 측정 {1}, 목표 {2}.	{0}: measured {1}, target {2}.
PipelineReview.Guide.BranchDetailFormat	분기: 이 Step은 이전 출력 {1} 대신 {0}을 입력으로 사용합니다.	Branch: this step reads {0} instead of previous output {1}.
PipelineReview.Guide.FailedDetailFormat	NG 원인: {0}	NG reason: {0}
PipelineReview.Guide.OkContinueDetailFormat	이 Step은 통과했습니다. Step {0}/{1}로 이동해 다음 출력을 확인하십시오.	This step passed. Move to Step {0}/{1} and confirm the next output.
PipelineReview.Guide.OkFinalDetail	마지막 Step이 통과했습니다. Pipeline 승인 전에 출력 이미지, 지표, 같은 Good/Bad 쌍을 비교하십시오.	Final step passed. Compare the output image, metrics, and matching Good/Bad pair before accepting the pipeline.
PipelineReview.Guide.ChecklistText	검증 순서: Good 먼저 실행 -> 같은 PairGroup의 Bad를 같은 Pipeline으로 실행 -> 출력 이미지, 오버레이, 지표, 로그를 함께 비교합니다.	Review habit: run Good first -> run Bad in the same PairGroup with the same pipeline -> compare output image, overlay, metrics, and log.
PipelineReview.Guide.NoRunDecision	미판정	Not judged
PipelineReview.Guide.OkDecisionFormat	{0}: 출력 승인	{0}: output accepted
PipelineReview.Guide.NgDecisionFormat	{0}: 재검토 필요	{0}: review required
PipelineReview.Metric.ResultImageWidth	결과 폭	Result Width
PipelineReview.Metric.ResultCount	결과 수	Result Count
PipelineReview.Metric.MeanValueAvg	평균 밝기(Mean)	Mean Avg
PipelineReview.Metric.DistanceMmAvg	평균 거리(Distance mm)	Distance Avg (mm)
PipelineReview.Metric.DistanceMmRange	거리 범위(Distance mm)	Distance Range (mm)
Arithmetic.Constant	상수	Constant
Arithmetic.ConstantValue	상수 값	Constant Value
Arithmetic.CopyAByOffset	A를 오프셋으로 복사	Copy A by offset
Arithmetic.Color	컬러	Color
Arithmetic.Gray	그레이	Gray
Arithmetic.GrayFormat	그레이 {0}	Gray {0}
Arithmetic.ColorBgrFormat	컬러 BGR({0},{1},{2})	Color BGR({0},{1},{2})
Arithmetic.InputAOnly	입력 A만	Input A only
Arithmetic.InputB	입력 B	Input B
Arithmetic.InputBSource	입력 B 소스	Input B Source
Arithmetic.Mode	모드	Mode
Arithmetic.Offset	오프셋	Offset
Arithmetic.OffsetMode	오프셋	Offset
Arithmetic.Operation	연산	Operation
Arithmetic.OperationMode	연산	Operation
Arithmetic.RunOffset	오프셋 실행	Run Offset
Arithmetic.Type	산술 연산 타입	Arithmetic Type
Morphology.Operation.Erode	침식	Erode
Morphology.Operation.Dilate	팽창	Dilate
Morphology.Operation.Open	열림	Open
Morphology.Operation.Close	닫힘	Close
Morphology.Operation.TopHat	탑햇	TopHat
Morphology.Operation.BlackHat	블랙햇	BlackHat
Morphology.Operation.HitMiss	히트미스	HitMiss
Morphology.Operation.Gradient	그래디언트	Gradient
Morphology.Shape.Rect	사각	Rect
Morphology.Shape.Ellipse	타원	Ellipse
Morphology.Shape.Cross	십자	Cross
VisionTool.Status.PreviewOk	미리보기 OK	Preview OK
VisionTool.Status.PreviewNg	미리보기 NG	Preview NG
VisionTool.Status.OffsetOk	오프셋 OK	Offset OK
VisionTool.Status.PipelineAdded	파이프라인 추가됨	Pipeline added
VisionTool.Status.OutputLayerReady	출력 레이어 준비됨	Output layer ready
VisionTool.Status.PipelineAddUnavailable	파이프라인 추가 불가	Pipeline add unavailable
VisionTool.Summary.Min	최소	Min
VisionTool.Summary.Max	최대	Max
VisionTool.Summary.Low	낮음	Low
VisionTool.Summary.High	높음	High
VisionTool.Summary.Aperture	커널	Aperture
VisionTool.Summary.Clip	클립	Clip
VisionTool.Summary.Tile	타일	Tile
VisionTool.Summary.Angle	각도	Angle
VisionTool.Summary.Scale	배율	Scale
Pipeline.OverlayLabel	라벨	Label
Pipeline.OverlayPoints	포인트	Points
Pipeline.PreviewMode.Summary	요약	Summary
Pipeline.PreviewMode.Input	입력	Input
Pipeline.PreviewMode.Output	출력	Output
Pipeline.PreviewMode.Overlay	오버레이	Overlay
Pipeline.OverlayLabelMode.None	없음	None
Pipeline.OverlayLabelMode.Number	번호	No
Pipeline.OverlayLabelMode.Details	상세	Details
Pipeline.ResultGrid.Item	항목	Item
Pipeline.ResultGrid.Value	값	Value
Pipeline.State.NeedsPreview	미리보기 필요	Needs Preview
Pipeline.State.NotCreated	생성 안 됨	Not Created
Pipeline.State.RunPreviewRequired	미리보기 실행 필요	Run Preview required.
Pipeline.State.Ready	준비됨	Ready
Pipeline.ResultRow.Status	상태	Status
Pipeline.ResultRow.Decision	판정	Decision
Pipeline.ResultRow.Result	결과	Result
Pipeline.ResultRow.Viewing	현재 보기	Viewing
Pipeline.ResultRow.Elapsed	소요 시간	Elapsed
Pipeline.ResultRow.Toolerror	Tool 오류	Tool error
Pipeline.ResultRow.Resultstatus	Result 상태	Result status
Pipeline.ResultRow.Flow	흐름	Flow
Pipeline.ResultRow.Inputimage	입력 이미지	Input image
Pipeline.ResultRow.Outputimage	출력 이미지	Output image
Pipeline.ResultRow.Inputsource	입력 출처	Input source
Pipeline.ResultRow.Outputresult	출력 결과	Output result
Pipeline.ResultRow.Acceptance	판정 조건	Acceptance
Pipeline.ResultRow.Nextaction	다음 동작	Next action
Pipeline.ResultRow.Tool	Tool	Tool
Pipeline.ResultRow.Parameters	파라미터	Parameters
Pipeline.ResultRow.Reason	사유	Reason
Pipeline.ResultRow.Message	메시지	Message
Pipeline.ResultRow.Template	템플릿	Template
Pipeline.ResultRow.Detectedcrop	검출 Crop	Detected crop
Pipeline.ResultRow.Matchcenter	매칭 중심	Match center
Pipeline.ResultRow.Overlaysteps	Overlay Step	Overlay steps
Pipeline.ResultRow.Overlays	Overlay	Overlays
Pipeline.ResultRow.Cachedsteps	캐시 Step	Cached steps
Pipeline.ResultRow.Publishtarget	반영 대상	Publish target
Pipeline.ResultRow.Sample	샘플	Sample
Pipeline.ResultRow.Check	검증	Check
Pipeline.ResultRow.Actual	실제값	Actual
Pipeline.ResultRow.Expected	기대값	Expected
Pipeline.ResultRow.Recipeflow	Recipe 흐름	Recipe flow
Pipeline.ResultRow.Goal	목표	Goal
Pipeline.ResultRow.Finallayer	최종 레이어	Final layer
Pipeline.ResultRow.Finaloverlays	최종 Overlay	Final overlays
Pipeline.ResultRow.Moremetrics	추가 Metrics	More metrics
Pipeline.ResultRow.Moreboxes	추가 박스	More boxes
Pipeline.ResultRow.Box	Box {0}	Box {0}
Pipeline.ResultAction.Metrics	더블클릭하면 모든 Metrics를 확인합니다.	Double-click to view all metrics.
Pipeline.ResultAction.PreviewInput	클릭하면 이 Step의 입력 이미지를 표시하고, 더블클릭하면 확대 보기로 엽니다.	Click to show this step's input image. Double-click to open it.
Pipeline.ResultAction.PreviewOutput	클릭하면 이 Step의 출력 이미지를 표시하고, 더블클릭하면 확대 보기로 엽니다.	Click to show this step's output image. Double-click to open it.
Pipeline.ResultAction.PreviewOverlay	클릭하면 이 Step의 Overlay 미리보기를 표시하고, 더블클릭하면 확대 보기로 엽니다.	Click to show this step's overlay preview. Double-click to open it.
Pipeline.ResultAction.Overlay	클릭하면 Overlay 미리보기를 표시하고, 더블클릭하면 해당 Overlay를 엽니다.	Click to show overlay preview. Double-click to open this overlay.
Pipeline.ResultAction.Overlays	클릭하면 Overlay 미리보기를 표시하고, 더블클릭하면 확대 보기로 엽니다.	Click to show overlay preview. Double-click to open it.
Pipeline.Decision.ToolError	Tool 오류	Tool Error
Pipeline.Decision.AcceptanceNG	판정 NG	Acceptance NG
Pipeline.Value.ResultOne	결과 {0}개	{0} result
Pipeline.Value.ResultMany	결과 {0}개	{0} results
Pipeline.Value.Score	점수 {0}	Score {0}
Pipeline.Value.Angle	각도 {0}	Angle {0}
Pipeline.Value.Overlays	Overlay {0}개	{0} overlays
Pipeline.Value.Image	이미지 {0}	Image {0}
Pipeline.Value.AcceptanceNgFormat	판정 NG - {0}	Acceptance NG - {0}
Common.OK	확인	OK
Common.Cancel	취소	Cancel
Common.Close	닫기	Close
Common.Minimize	최소화	Minimize
Common.Maximize	최대화	Maximize
Common.DockRight	우측 도킹	Dock Right
Common.Export	내보내기	Export
Common.Restore	복원	Restore
Common.Alarm	알림	Alarm
PipelineTextPrompt.DefaultTitle	샘플 저장	Save Sample
PipelineTextPrompt.DefaultLabel	샘플 이름	Sample Name
AiRecipe.Prompt.Title	AI Recipe 프롬프트	AI Recipe Prompt
AiRecipe.Prompt.GoalLabel	검사 목표	Inspection Goal
AiRecipe.Prompt.DefaultGoal	검출 대상과 박스, Metrics, OK/NG 기준을 생성합니다.	Detect target objects and return boxes, metrics, and OK/NG criteria.
AiRecipe.PromptPreview.Title	AI Recipe 프롬프트	AI Recipe Prompt
AiRecipe.PromptPreview.Caption	프롬프트를 검토하고 필요 시 수정한 뒤 LLM에 복사하십시오.	Review the prompt, adjust if needed, then copy it for your LLM.
AiRecipe.PromptPreview.Copy	복사	Copy
AiRecipe.PromptPreview.DefaultText	이미지 검사 목표와 기대 출력 레이어를 입력하십시오.	Describe the image inspection goal and expected output layers here.
AiRecipe.OpenXmlDialogTitle	LLM Recipe XML 열기	Open LLM Recipe XML
AiRecipe.LoadPreviewImageDialogTitle	미리보기 이미지 로드	Load Preview Image
AiRecipe.RetryPrompt	재시도 프롬프트	Retry Prompt
AiRecipe.ImageStatus.PreviewImage	미리보기 이미지: Main ({0} x {1})	Preview image: Main ({0} x {1})
AiRecipe.ImageStatus.CurrentLayers	미리보기 소스: 현재 레이어 ({0})	Preview source: current layers ({0})
AiRecipe.Overview.CurrentLayers	현재 레이어: {0}	Current layers: {0}
AiRecipe.Overview.PreviewImage	미리보기 이미지: Main ({0} x {1})	Preview image: Main ({0} x {1})
AiRecipe.Overview.Waiting	상태: Recipe XML 대기	Status: Waiting for recipe XML
AiRecipe.Overview.Use	사용: 붙여넣기/XML 열기 또는 샘플 로드	Use: Paste/Open XML or load Sample.
AiRecipe.Overview.Next	다음: 검증 -> 미리보기 실행 -> AI 피드백 복사	Next: Validate -> Run Preview -> Copy Feedback.
AiRecipe.NextAction.Waiting	다음 작업: Recipe XML을 붙여넣거나 샘플을 열고 검증하십시오.	Next action: Paste/open recipe XML, then validate.
AiRecipe.NextAction.ValidationNg	다음 작업: Safe Fix를 적용하거나 검증 오류를 수정하십시오.	Next action: Apply Safe Fix or edit validation errors.
AiRecipe.NextAction.ValidationOk	다음 작업: 미리보기 실행으로 이미지 검출을 확인하십시오.	Next action: Run Preview and verify detection.
AiRecipe.NextAction.Running	다음 작업: 미리보기 실행 완료를 기다리십시오.	Next action: Wait for Run Preview to finish.
AiRecipe.NextAction.PreviewOk	다음 작업: Pipeline에 적용하거나 AI 피드백으로 추가 튜닝하십시오.	Next action: Apply to Pipeline or tune with AI Feedback.
AiRecipe.NextAction.PreviewNg	다음 작업: Safe Fix/Layer Flow를 적용하거나 AI 피드백을 복사하십시오.	Next action: Apply Safe Fix/Layer Flow or copy AI Feedback.
AiRecipe.Overview.Pipeline	Pipeline: {0}	Pipeline: {0}
AiRecipe.Overview.Status	상태: {0}	Status: {0}
AiRecipe.Overview.Steps	Steps: {0}	Steps: {0}
AiRecipe.Overview.Validation	검증: {0}	Validation: {0}
AiRecipe.Overview.RunPreview	미리보기 실행: {0}	Run Preview: {0}
AiRecipe.Overview.CatalogGate	카탈로그 Gate: {0}	Catalog Gate: {0}
AiRecipe.Overview.AutoFixes	자동 수정: {0}	Auto Fixes: {0}
AiRecipe.Status.Validated	검증됨	Validated
AiRecipe.Flow.Empty	Recipe를 검증하면 Step 체인을 볼 수 있습니다.	Validate a recipe to see the step chain.
AiRecipe.Flow.Expected	예상 흐름:	Expected flow:
AiRecipe.Feedback.Empty1	미리보기를 실행하면 AI 튜닝 피드백이 생성됩니다.	Run Preview creates AI tuning feedback.
AiRecipe.Feedback.Empty2	AI 피드백 복사는 검증, 자동 수정, Metrics, 실패 Step 정보를 클립보드로 보냅니다.	Copy Feedback sends validation, auto-fix, metrics, and failed-step context to the clipboard.
AiRecipe.Feedback.Empty3	미리보기 실행 후에는 최신 실행 피드백이 프롬프트에 포함됩니다.	Prompt will include the latest Run Preview feedback after a preview has run.
AiRecipe.Feedback.Ready	LLM 재시도 준비:	Ready for LLM retry:
AiRecipe.Feedback.Validation	검증 피드백:	Validation feedback:
AiRecipe.Feedback.FullCopied	전체 피드백은 AI 피드백 복사로 복사됩니다.	Full feedback is copied by Copy AI Feedback.
AiRecipe.Patch.Empty1	미리보기를 실행하면 XML 수정 요청이 생성됩니다.	Run Preview creates an XML Patch Request.
AiRecipe.Patch.Empty2	실패 Step을 선택하면 요청 대상이 좁혀집니다.	Select a failed step to focus the request.
AiRecipe.Patch.Empty3	수정 요청 복사는 LLM에게 전체 VisionPipeline XML 반환을 요청합니다.	Copy Patch Request asks the LLM to return a full VisionPipeline XML.
AiRecipe.Patch.Target	XML 수정 요청 대상:	XML Patch Request target:
AiRecipe.Patch.Status	상태: {0}	Status: {0}
AiRecipe.Patch.Flow	흐름: {0} -> {1}	Flow: {0} -> {1}
AiRecipe.Patch.Patch	수정: {0}	Patch: {0}
AiRecipe.Patch.NoSafeFix	Safe Auto Fix: 사용 가능한 항목 없음	Safe Auto Fix: none available.
AiRecipe.Patch.ManualTuning	수동 튜닝 필요: 수정 요청 복사로 선택 Step 또는 직접 의존 Step만 수정하십시오.	Manual tuning needed: use Copy Patch Request and update only the selected Step or its direct layer dependencies.
AiRecipe.Patch.CopyIncludesXml	수정 요청 복사는 현재 Step XML을 포함하고 전체 VisionPipeline XML 반환을 요청합니다.	Copy Patch Request includes the current step XML and asks for a full VisionPipeline XML.
AiRecipe.SafeFixPreview.Title	Safe Auto Fix 미리보기:	Safe Auto Fix Preview:
AiRecipe.SafeFixPreview.TargetPipeline	대상: 검증 / 전체 Pipeline	Target: validation / whole pipeline
AiRecipe.SafeFixPreview.Target	대상: {0}	Target: {0}
AiRecipe.SafeFixPreview.Scope	범위: Step 파라미터, 레이어 흐름, 명시 선택한 판정 제한만 수정합니다.	Scope: Step parameters, layer flow, and explicitly selected acceptance limits only.
PropertyGrid.DisplayName.Acceptance_Metric	판정 지표	Acceptance Metric
PropertyGrid.DisplayName.Algorithm	알고리즘	Algorithm
PropertyGrid.DisplayName.Aperture_size	Aperture 크기	Aperture size
PropertyGrid.DisplayName.Degree_X	X 차수	Degree X
PropertyGrid.DisplayName.Degree_Y	Y 차수	Degree Y
PropertyGrid.DisplayName.High_threshold	High 기준값	High threshold
PropertyGrid.DisplayName.Kernel_size	커널 크기	Kernel size
PropertyGrid.DisplayName.Low_threshold	Low 기준값	Low threshold
PropertyGrid.DisplayName.Max_Elapsed_(ms)	최대 시간(ms)	Max Elapsed (ms)
PropertyGrid.DisplayName.Metric_Max	최대 지표	Metric Max
PropertyGrid.DisplayName.Metric_range	지표 범위	Metric range
PropertyGrid.DisplayName.Required_Message	필수 메시지	Required Message
PropertyGrid.DisplayName.Scale_X_(%)	X 스케일(%)	Scale X (%)
PropertyGrid.DisplayName.Scale_Y_(%)	Y 스케일(%)	Scale Y (%)
PropertyGrid.DisplayName.Step_Name	Step 이름	Step Name
PropertyGrid.DisplayName.Use_Metric_Max	최대 지표 사용	Use Metric Max
PropertyGrid.DisplayName.Use_Metric_Min	최소 지표 사용	Use Metric Min
VisionTest.InputLayer	입력 레이어	Input Layer
VisionTest.OutputLayer	결과 쓰기 레이어	Result Write Layer
VisionTest.Run	실행	Run
VisionTest.Details	상세	Details
VisionTest.NoInputImage	입력 이미지 없음	No input image
VisionTest.SelectInputLayer	입력 레이어를 선택하십시오.	Select an input layer.
VisionTest.NoOutputYet	출력 결과 없음	No output yet
VisionTest.RunToolToViewResult	Tool을 실행하면 결과가 표시됩니다.	Run the tool to view the result.
VisionTest.CreateOutputLayer	새 출력 레이어를 생성합니다. Create 버튼은 입력 레이어를 바꾸지 않습니다.	Create Output Layer. This does not change the selected input layer.
VisionTest.OutputLayerWriteTargetTooltip	미리보기/실행 결과를 쓸 레이어입니다. 기존 레이어를 선택하면 해당 레이어를 덮어쓰고, 새 이름을 입력하거나 + 버튼을 누르면 새 출력 레이어를 사용합니다.	Preview/Run writes results to this layer. Select an existing layer to overwrite it, or type a new name / press + to use a new output layer.
VisionTest.Help	도움말	Help
VisionTest.DefaultTitle	검사 Tool	Vision Tool
VisionTest.DefaultStep	Vision Step	Vision Step
VisionTest.Running	실행 중	Running
VisionTest.Completed	실행 완료	Completed
VisionTest.ResultPublished	결과 표시 완료: {0}	Result published: {0}
VisionTest.RunFailedFormat	{0} 실행 실패.\r\n{1}	{0} failed.\r\n{1}
VisionTest.Error.SourceImageNotLoaded	입력 이미지가 로드되지 않았습니다.	Source image is not loaded.
VisionTest.Error.ToolReturnedNoResult	Vision Tool이 결과 객체를 반환하지 않았습니다.	Vision tool returned no result.
VisionTest.Error.ResultImageEmpty	Vision Tool 결과 이미지가 비어 있습니다.	Vision tool result image is empty.
VisionTest.Error.ToolExecutionFailed	Tool 실행에 실패했습니다.	Tool execution failed.
ToolView.AddPipeline	파이프라인 추가	Add Pipeline
LineForm.Text	라인 / 거리 측정	Line
LineForm.btnResult.Text	상세	Details
LineForm.btnRun.Text	피팅 라인	Fit Line
LineForm.rjButton1.Text	에지 검출	Edge
LineForm.btnVerLineRun.Text	수직선 거리	Vertical Line
LineForm.rdoLeftEdgePara.Text	에지(L)	Edge(L)
LineForm.rdoRightEdgePara.Text	에지(R)	Edge(R)
LineForm.btnResult.ToolTip	검출 상세 결과를 확인합니다.	Show detailed detection results.
LineForm.btnRun.ToolTip	좌/우 에지를 피팅해서 교차 라인을 계산합니다.	Fit left/right edges and calculate the intersection line.
LineForm.rjButton1.ToolTip	선택한 에지 파라미터로 에지 위치를 검출합니다.	Detect the edge with the selected edge parameter.
LineForm.btnVerLineRun.ToolTip	좌/우 에지로 수직 거리 측정 라인을 계산합니다.	Calculate vertical measurement lines from left/right edges.
LineForm.rdoLeftEdgePara.ToolTip	왼쪽 에지 파라미터를 편집합니다.	Edit the left edge parameter.
LineForm.rdoRightEdgePara.ToolTip	오른쪽 에지 파라미터를 편집합니다.	Edit the right edge parameter.
LineForm.Run.FitLine	피팅 라인	Fit Line
LineForm.Run.Edge	에지 검출	Line Edge
LineForm.Run.VerticalLine	수직선 거리	Vertical Line Intersection
MatchingForm.Text	패턴 매칭	Matching
MatchingForm.btnRun.Text	실행	Run
MatchingForm.groupBoxMatchReview.Text	매칭 검토	Match Review
MatchingForm.lblTemplateTitle.Text	매칭 템플릿	Template to Match
MatchingForm.lblDetectedTitle.Text	검출 영역	Detected Crop
MatchingForm.lblMatchSummaryTitle.Text	매칭 결과	Match Result
MatchingForm.RunName	패턴 매칭	Matching
MatchingForm.State.RunToCompare	매칭을 실행하면 비교 결과가 표시됩니다.	Run matching to compare.
MatchingForm.State.TemplateChanged	템플릿이 변경되었습니다.	Template changed.
MatchingForm.State.NoMatch	매칭 결과가 없습니다.	No match.
MatchingForm.Summary.Template	템플릿	Template
MatchingForm.Summary.Crop	검출 영역	Crop
MatchingForm.Summary.Score	점수	Score
MatchingForm.Summary.Center	중심	Center
MatchingForm.Summary.Size	크기	Size
MatchingForm.Summary.Count	개수	Count
MatchingForm.Summary.Overlay	오버레이	Overlay
MatchingForm.Summary.Output	출력	Output
MatchingForm.Summary.State	상태	State
FeatureMatchingForm.Text	특징 매칭	Feature Matching
FeatureMatchingForm.btnRun.Text	실행	Run
FeatureMatchingForm.groupBoxFeatureReview.Text	특징 매칭 검토	Feature Review
FeatureMatchingForm.lblTemplateTitle.Text	특징 템플릿	Feature Template
FeatureMatchingForm.lblDetectedTitle.Text	검출 영역	Detected Crop
FeatureMatchingForm.lblFeatureSummaryTitle.Text	특징 매칭 결과	Feature Result
FeatureMatchingForm.RunName	특징 매칭	Feature Matching
FeatureMatchingForm.State.RunToCompare	특징 매칭을 실행하면 비교 결과가 표시됩니다.	Run feature matching to compare.
FeatureMatchingForm.State.TemplateChanged	템플릿이 변경되었습니다.	Template changed.
FeatureMatchingForm.State.NoMatch	특징 매칭 결과가 없습니다.	No feature match.
FeatureMatchingForm.Summary.Template	템플릿	Template
FeatureMatchingForm.Summary.Crop	검출 영역	Crop
FeatureMatchingForm.Summary.Score	점수	Score
FeatureMatchingForm.Summary.Center	중심	Center
